latitude,longitude,api
6188735.094959214,-11383242.254441548,33061012390000
6186223.040820546,-11385648.425235044,33061012450000
6183942.546420255,-11378514.070389595,33061012460000
6180833.642513847,-11385384.152763901,33061012500000
6193616.724902189,-11380869.034217324,33061012530000
6188620.879337708,-11376501.747954523,33061012540000
6193132.049067559,-11387428.7578513,33061012550000
6171291.457845575,-11394670.090727402,33061012560000
6171829.373511452,-11417767.549233116,33061012610000
6195554.86372617,-11394938.927297669,33061012690000
6156718.286141174,-11410854.052257402,33061012850000
6122619.358784848,-11385969.359327001,33061012860000
6088596.138812249,-11380808.699053315,33061012960000
6113222.4640159495,-11387813.811969955,33061012980000
6113366.144260291,-11386864.813310942,33061012990000
6161573.7488780115,-11408495.303566983,33061013000000
6098176.666155589,-11385335.728785405,33061013010000
6083431.257999486,-11385118.544458868,33061013020000
6083385.798382196,-11385118.544458868,33061013030000
6164101.831442472,-11408470.145362064,33061013070000
6120431.921577117,-11385443.597371984,33061013090000
6120226.971683495,-11385738.927981058,33061013130000
6091025.888961909,-11385504.934411412,33061013210000
6153992.148223922,-11385287.527445892,33061013220000
6091364.155875404,-11383513.428721119,33061013260000
6127703.81585181,-11387900.307214301,33061013290000
6127728.33098744,-11386878.28296933,33061013300000
6086519.756374729,-11385753.06555639,33061013490000
6088250.012581909,-11386730.784644026,33061013500000
6105441.353240685,-11389745.650413182,33061013610000
6153991.6463760715,-11385276.06153834,33061013920000
6095834.780862947,-11385274.057787506,33061013930000
6196111.796779987,-11393246.537079137,33061013940000
6122922.871056361,-11387152.35155566,33061013950000
6141952.1006683875,-11387919.231527736,33061014030000
6125278.331688481,-11387678.892747112,33061014050000
6120030.191071693,-11386656.311904684,33061014060000
6186241.679489187,-11386903.218535265,33061014090000
